PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
James Ennis III,MEM,26,18,35,51.4,10,23,43.5,19,39,48.7,3,10,30,3,6,50,15,51,29.4
James Harden,HOU,27,49,74,66.2,35,72,48.6,36,86,41.9,7,15,46.7,6,13,46.2,26,71,36.6
James Johnson,MIA,29,30,47,63.8,21,37,56.8,22,56,39.3,2,8,25,2,7,28.6,14,41,34.1
James Jones,CLE,36,4,12,33.3,2,5,40,6,15,40,1,1,100,1,3,33.3,4,14,28.6
James Michael McAdoo,GSW,24,7,7,100,1,6,16.7,1,6,16.7,0,2,0,0,2,0,2,11,18.2
James Young,BOS,21,2,5,40,0,1,0,4,6,66.7,0,0,0,0,0,0,0,4,0
Jared Dudley,PHX,31,12,20,60,6,12,50,11,36,30.6,2,8,25,1,1,100,13,32,40.6
Jared Sullinger,TOR,24,1,1,100,0,2,0,1,2,50,0,1,0,0,0,0,1,4,25
Jarell Martin,MEM,22,10,19,52.6,7,17,41.2,6,21,28.6,0,3,0,1,3,33.3,10,27,37
Jarnell Stokes,DEN,23,2,2,100,0,1,0,-,-,-,-,-,-,-,-,-,0,0,0
Jason Smith,WAS,30,11,17,64.7,5,11,45.5,10,23,43.5,6,7,85.7,0,5,0,9,32,28.1
Jason Terry,MIL,39,16,25,64,6,17,35.3,9,32,28.1,1,5,20,1,8,12.5,17,38,44.7
Jaylen Brown,BOS,20,23,37,62.2,6,16,37.5,12,30,40,0,1,0,0,1,0,8,31,25.8
Jeff Green,ORL,30,25,41,61,12,33,36.4,18,63,28.6,1,4,25,3,8,37.5,23,54,42.6
Jeff Teague,IND,28,36,62,58.1,14,41,34.1,18,56,32.1,5,9,55.6,5,12,41.7,21,64,32.8
Jeff Withey,UTA,26,6,11,54.5,1,5,20,3,7,42.9,0,3,0,2,2,100,3,10,30
Jerami Grant,OKC,22,29,59,49.2,17,36,47.2,19,50,38,5,11,45.5,1,4,25,9,39,23.1
Jeremy Lamb,CHA,24,10,18,55.6,7,14,50,10,17,58.8,4,4,100,3,3,100,6,23,26.1
Jeremy Lin,BKN,28,1,7,14.3,2,5,40,5,15,33.3,1,5,20,0,3,0,3,10,30
Jerian Grant,CHI,24,18,29,62.1,4,12,33.3,9,22,40.9,3,6,50,1,5,20,15,37,40.5
Jerryd Bayless,PHI,28,1,3,33.3,4,4,100,1,5,20,0,0,0,-,-,-,1,2,50
Jimmy Butler,CHI,27,32,70,45.7,18,39,46.2,28,87,32.2,6,12,50,3,8,37.5,21,69,30.4
Joakim Noah,NYK,31,25,41,61,15,27,55.6,18,42,42.9,1,6,16.7,3,6,50,10,39,25.6
Jodie Meeks,ORL,29,17,29,58.6,7,11,63.6,2,12,16.7,0,4,0,1,1,100,9,22,40.9
Joe Harris,BKN,25,18,31,58.1,13,32,40.6,19,45,42.2,2,6,33.3,3,11,27.3,4,29,13.8
Joe Ingles,UTA,29,24,52,46.2,10,30,33.3,11,39,28.2,2,12,16.7,3,8,37.5,13,34,38.2
Joe Johnson,UTA,35,22,42,52.4,13,32,40.6,19,50,38,1,7,14.3,2,5,40,13,34,38.2
Joe Young,IND,24,2,3,66.7,1,3,33.3,2,4,50,-,-,-,1,4,25,3,3,100
Joel Anthony,SAS,34,-,-,-,1,1,100,-,-,-,1,1,100,-,-,-,0,1,0
Joel Bolomboy,UTA,23,1,1,100,0,1,0,0,0,0,-,-,-,-,-,-,0,0,0
Joel Embiid,PHI,22,15,28,53.6,6,26,23.1,23,38,60.5,1,4,25,2,8,25,9,32,28.1
Joffrey Lauvergne,OKC,25,20,35,57.1,7,20,35,11,26,42.3,3,9,33.3,3,6,50,5,31,16.1
John Henson,MIL,26,28,49,57.1,6,18,33.3,11,47,23.4,4,10,40,3,8,37.5,12,34,35.3
John Jenkins,PHX,25,0,0,0,-,-,-,0,0,0,-,-,-,-,-,-,2,3,66.7
John Lucas III,MIN,34,1,2,50,-,-,-,-,-,-,0,0,0,-,-,-,0,0,0
John Wall,WAS,26,33,54,61.1,17,40,42.5,43,94,45.7,6,14,42.9,5,16,31.3,27,86,31.4
Jon Leuer,DET,27,26,46,56.5,14,33,42.4,23,52,44.2,3,7,42.9,0,5,0,15,39,38.5
Jonas Jerebko,BOS,29,23,36,63.9,4,20,20,13,33,39.4,1,1,100,0,2,0,10,38,26.3
Jonas Valanciunas,TOR,24,27,47,57.4,15,43,34.9,24,56,42.9,7,13,53.8,1,5,20,10,32,31.3
Jonathan Gibson,DAL,29,6,10,60,7,11,63.6,4,11,36.4,2,3,66.7,0,2,0,4,8,50
Jonathon Simmons,SAS,27,20,29,69,10,19,52.6,9,30,30,1,3,33.3,5,11,45.5,5,29,17.2
Jordan Clarkson,LAL,24,34,53,64.2,18,41,43.9,15,54,27.8,3,9,33.3,1,9,11.1,21,65,32.3
Jordan Farmar,SAC,30,0,0,0,0,2,0,0,0,0,1,2,50,-,-,-,1,1,100
Jordan Hill,MIN,29,2,3,66.7,1,1,100,0,1,0,0,1,0,-,-,-,2,4,50
Jordan McRae,CLE,25,12,22,54.5,5,15,33.3,10,20,50,0,2,0,2,5,40,4,19,21.1
Jordan Mickey,BOS,22,4,5,80,1,4,25,2,5,40,1,1,100,-,-,-,1,6,16.7
Jose Calderon,LAL,35,6,12,50,3,7,42.9,5,12,41.7,2,3,66.7,0,0,0,4,12,33.3
Josh McRoberts,MIA,29,5,11,45.5,2,8,25,9,19,47.4,0,1,0,0,3,0,3,9,33.3
Josh Richardson,MIA,23,20,34,58.8,11,22,50,14,40,35,2,6,33.3,2,10,20,9,24,37.5
Jrue Holiday,NOP,26,27,45,60,12,30,40,22,44,50,4,11,36.4,2,4,50,21,55,38.2
