PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Blake Griffin,DET,28,39,39,22.40%,50,147,34,49.3,2.30%,5,15,33.3,20.20%,45,132,34.1
Boban Marjanovic,LAC,29,20,7,11.10%,3,8,37.5,37.5,11.10%,3,8,37.5,0.00%,0,0,-
Bobby Brown,HOU,33,20,6,21.40%,3,12,25,37.5,0.00%,0,0,-,21.40%,3,12,25
Bobby Portis,CHI,23,46,45,39.00%,61,168,36.3,47.6,11.10%,23,48,47.9,27.80%,38,120,31.7
Bogdan Bogdanovic,SAC,25,52,51,33.80%,59,153,38.6,54.9,4.60%,9,21,42.9,29.20%,50,132,37.9
Bojan Bogdanovic,IND,28,56,56,45.50%,96,246,39,57.1,2.60%,7,14,50,42.90%,89,232,38.4
Bradley Beal,WAS,24,56,56,25.50%,107,255,42,60.2,2.80%,14,28,50,22.70%,93,227,41
Brandan Wright,MEM,30,27,3,5.40%,3,5,60,60,5.40%,3,5,60,0.00%,0,0,-
Brandon Ingram,LAL,20,51,45,16.60%,42,101,41.6,56.9,4.10%,11,25,44,12.50%,31,76,40.8
Brandon Paul,SAS,26,50,26,44.80%,16,47,34,48.9,4.80%,2,5,40,40.00%,14,42,33.3
Briante Weber,HOU,25,13,3,15.00%,1,3,33.3,50,0.00%,0,0,-,15.00%,1,3,33.3
Brice Johnson,MEM,23,9,3,36.40%,1,4,25,25,27.30%,1,3,33.3,9.10%,0,1,0
Brook Lopez,LAL,29,47,46,46.50%,73,220,33.2,47.7,4.90%,9,23,39.1,41.60%,64,197,32.5
Bruno Caboclo,SAC,22,2,1,100%,0,2,0,0,0.00%,0,0,-,100%,0,2,0
Bryn Forbes,SAS,24,57,51,46.90%,67,179,37.4,55.3,4.20%,3,16,18.8,42.70%,64,163,39.3
Buddy Hield,SAC,24,53,50,32.30%,93,175,53.1,76.9,3.70%,10,20,50,28.60%,83,155,53.5
C.J. Williams,LAC,28,28,20,32.80%,16,45,35.6,50,3.60%,3,5,60,29.20%,13,40,32.5
CJ McCollum,POR,26,56,55,20.50%,86,196,43.9,62.8,3.70%,12,35,34.3,16.80%,74,161,46
CJ Miles,TOR,30,45,44,64.90%,96,237,40.5,60.5,0.80%,1,3,33.3,64.10%,95,234,40.6
Caleb Swanigan,POR,20,17,7,22.00%,3,9,33.3,38.9,9.80%,2,4,50,12.20%,1,5,20
