PLAYER,TEAM,AGE,GP,G,FREQ,FGM,FGA,FG%,EFG%,2FG FREQ,2FGM,2FGA,2FG%,3FG FREQ,3PM,3PA,3P%
Markelle Fultz,PHI,19,4,4,28.60%,1,6,16.7,16.7,28.60%,1,6,16.7,0.00%,0,0,-
Markieff Morris,WAS,28,47,36,18.10%,27,72,37.5,37.5,17.10%,27,68,39.7,1.00%,0,4,0
Marquese Chriss,PHX,20,49,22,8.20%,4,23,17.4,17.4,6.70%,4,19,21.1,1.40%,0,4,0
Marreese Speights,ORL,30,45,18,8.50%,9,25,36,38,6.50%,8,19,42.1,2.00%,1,6,16.7
Marvin Williams,CHA,31,52,28,11.00%,21,38,55.3,59.2,10.10%,18,35,51.4,0.90%,3,3,100
Mason Plumlee,DEN,27,50,12,5.60%,6,14,42.9,42.9,5.60%,6,14,42.9,0.00%,0,0,-
Matt Williams Jr.,MIA,24,3,1,33.30%,1,2,50,50,16.70%,1,1,100,16.70%,0,1,0
Matthew Dellavedova,MIL,27,36,24,29.50%,12,41,29.3,32.9,19.40%,9,27,33.3,10.10%,3,14,21.4
Maurice Harkless,POR,24,46,10,5.40%,3,11,27.3,31.8,2.50%,2,5,40,2.90%,1,6,16.7
Maxi Kleber,DAL,26,51,13,7.60%,4,17,23.5,23.5,6.70%,4,15,26.7,0.90%,0,2,0
Meyers Leonard,POR,25,22,5,12.50%,6,7,85.7,85.7,12.50%,6,7,85.7,0.00%,0,0,-
Michael Beasley,NYK,29,49,45,24.80%,39,115,33.9,35.7,22.40%,35,104,33.7,2.40%,4,11,36.4
Michael Carter-Williams,CHA,26,44,27,26.70%,11,46,23.9,26.1,22.70%,9,39,23.1,4.10%,2,7,28.6
Michael Kidd-Gilchrist,CHA,24,49,44,31.30%,50,112,44.6,44.6,31.00%,50,111,45,0.30%,0,1,0
Mike Conley,MEM,30,12,12,46.30%,23,74,31.1,40.5,16.90%,9,27,33.3,29.40%,14,47,29.8
Mike James,NOP,27,36,35,50.20%,43,149,28.9,35.2,26.90%,24,80,30,23.20%,19,69,27.5
Mike Muscala,ATL,26,28,6,5.30%,2,6,33.3,33.3,5.30%,2,6,33.3,0.00%,0,0,-
Mike Scott,WAS,29,51,34,20.20%,38,69,55.1,55.1,18.50%,38,63,60.3,1.80%,0,6,0
Milos Teodosic,LAC,30,25,25,52.60%,36,111,32.4,39.6,22.30%,20,47,42.6,30.30%,16,64,25
Milton Doyle,BKN,24,6,3,21.70%,0,5,0,0,4.30%,0,1,0,17.40%,0,4,0
Mirza Teletovic,MIL,32,9,4,9.80%,2,5,40,50,5.90%,1,3,33.3,3.90%,1,2,50
Monte Morris,DEN,22,2,1,16.70%,1,1,100,100,16.70%,1,1,100,0.00%,0,0,-
Montrezl Harrell,LAC,24,48,8,3.30%,4,9,44.4,44.4,2.90%,4,8,50,0.40%,0,1,0
Myke Henry,MEM,25,8,3,10.80%,0,4,0,0,10.80%,0,4,0,0.00%,0,0,-
Myles Turner,IND,21,41,23,9.50%,20,38,52.6,52.6,8.50%,20,34,58.8,1.00%,0,4,0
Nate Wolters,UTA,26,5,2,60.00%,1,3,33.3,33.3,60.00%,1,3,33.3,0.00%,0,0,-
Nemanja Bjelica,MIN,29,44,12,7.50%,6,14,42.9,50,5.30%,4,10,40,2.10%,2,4,50
Nene,HOU,35,38,2,1.20%,0,2,0,0,1.20%,0,2,0,0.00%,0,0,-
