PLAYER,TEAM,AGE,RA-FGM,RA-FGA,RA-FG%,PAINT-FGM,PAINT-FGA,PAINT-FG%,MID-FGM,MID-FGA,MID-FG%,LEFT-FGM,LEFT-FGA,LEFT-FG%,RIGHT-FGM,RIGHT-FGA,RIGHT-,TOP-FGM,TOP-FGA,TOP-FG%
George Hill,UTA,30,8,15,53.3,2,3,66.7,2,9,22.2,1,1,100,0,1,0,4,13,30.8
Georges Niang,IND,23,2,3,66.7,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Georgios Papagiannis,SAC,19,-,-,-,-,-,-,0,0,0,0,0,0,-,-,-,0,0,0
Gerald Green,BOS,31,1,3,33.3,1,1,100,2,3,66.7,1,1,100,0,1,0,2,4,50
Gerald Henderson,PHI,29,7,9,77.8,1,4,25,2,10,20,2,3,66.7,2,5,40,4,10,40
Giannis Antetokounmpo,MIL,22,36,55,65.5,8,15,53.3,7,18,38.9,0,1,0,0,1,0,2,11,18.2
Glenn Robinson,IND,23,2,5,40,1,2,50,4,16,25,3,6,50,1,2,50,5,6,83.3
Goran Dragic,MIA,30,33,45,73.3,11,23,47.8,7,27,25.9,3,5,60,2,4,50,10,17,58.8
Gordon Hayward,UTA,26,19,27,70.4,4,12,33.3,5,18,27.8,2,2,100,1,2,50,5,23,21.7
Gorgui Dieng,MIN,27,11,15,73.3,4,10,40,11,20,55,0,0,0,0,1,0,0,0,0
Greg Monroe,MIL,26,18,30,60,5,11,45.5,1,3,33.3,0,0,0,0,0,0,0,0,0
Greivis Vasquez,BKN,30,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison Barnes,DAL,24,6,8,75,4,10,40,14,26,53.8,0,3,0,1,1,100,3,18,16.7
Hassan Whiteside,MIA,27,20,25,80,5,17,29.4,1,8,12.5,0,0,0,0,0,0,0,0,0
Henry Ellenson,DET,20,0,0,0,0,0,0,1,1,100,0,0,0,0,0,0,2,3,66.7
Hollis Thompson,PHI,25,2,4,50,0,4,0,0,3,0,1,2,50,0,3,0,3,11,27.3
Ian Clark,GSW,25,6,7,85.7,2,3,66.7,3,5,60,1,4,25,0,0,0,5,12,41.7
